"File","NonEmpty","Comment","Density"
"demo-common\src\main\java\com\demo\constant\MessageConstant.java","40","4","10"
"demo-service\src\test\java\com\demo\product\ProductStatusNormalizationTest.java","27","3","11.11"
"demo-pojo\src\main\java\com\demo\entity\Address.java","26","3","11.54"
"demo-service\src\main\java\com\demo\service\serviceimpl\AfterSaleServiceImpl.java","183","22","12.02"
"demo-service\src\main\java\com\demo\service\serviceimpl\UserServiceImpl.java","439","53","12.07"
"demo-service\src\main\java\com\demo\service\serviceimpl\ViolationServiceImpl.java","368","50","13.59"
"demo-service\src\main\java\com\demo\service\serviceimpl\ProductServiceImpl.java","462","63","13.64"
"demo-service\src\main\java\com\demo\service\serviceimpl\OutboxServiceImpl.java","21","3","14.29"
"demo-service\src\main\java\com\demo\controller\admin\EmployeeController.java","70","10","14.29"
"demo-service\src\main\java\com\demo\service\serviceimpl\AuthServiceImpl.java","350","50","14.29"
"demo-service\src\main\java\com\demo\service\serviceimpl\OrderServiceImpl.java","555","83","14.95"
"demo-service\src\main\java\com\demo\service\serviceimpl\AddressServiceImpl.java","180","27","15"
"demo-service\src\main\java\com\demo\config\WebSocketConfiguration.java","20","3","15"
"demo-common\src\main\java\com\demo\result\Result.java","33","5","15.15"
"demo-service\src\test\java\com\demo\product\ProductActionTypeTest.java","19","3","15.79"
"demo-service\src\main\java\com\demo\controller\Jwtcontroller.java","44","7","15.91"
"demo-service\src\main\java\com\demo\service\serviceimpl\FavoriteServiceImpl.java","147","24","16.33"
"demo-service\src\main\java\com\demo\service\serviceimpl\OrderShipReminderTaskServiceImpl.java","128","21","16.41"
"demo-service\src\main\java\com\demo\config\RabbitMqConfiguration.java","211","35","16.59"
"demo-pojo\src\main\java\com\demo\entity\UserBan.java","18","3","16.67"
"demo-service\src\main\java\com\demo\controller\admin\ProductController.java","135","23","17.04"
"demo-service\src\main\java\com\demo\controller\admin\AdminOrderController.java","123","21","17.07"
"demo-service\src\main\java\com\demo\job\OrderTimeoutJob.java","52","9","17.31"
"demo-service\src\main\java\com\demo\service\serviceimpl\StatisticsServiceImpl.java","79","14","17.72"
"demo-service\src\main\java\com\demo\service\serviceimpl\CreditServiceImpl.java","158","28","17.72"
"demo-service\src\main\java\com\demo\service\serviceimpl\OrderShipTimeoutPenaltyServiceImpl.java","62","11","17.74"
"demo-service\src\main\java\com\demo\service\serviceimpl\ReviewServiceImpl.java","189","34","17.99"
"demo-service\src\main\java\com\demo\service\serviceimpl\OrderRefundAccountingServiceImpl.java","98","18","18.37"
"demo-service\src\main\java\com\demo\service\serviceimpl\OrderRefundTaskProcessor.java","92","17","18.48"
"demo-service\src\main\java\com\demo\service\serviceimpl\MessageServiceImpl.java","178","33","18.54"
"demo-common\src\main\java\com\demo\utils\JwtUtil.java","107","20","18.69"
"demo-service\src\main\java\com\demo\controller\admin\AdminCreditController.java","85","16","18.82"
"demo-service\src\main\java\com\demo\service\serviceimpl\LogisticsServiceImpl.java","116","22","18.97"
"demo-service\src\main\java\com\demo\service\serviceimpl\PointsServiceImpl.java","72","14","19.44"
"demo-service\src\main\java\com\demo\service\serviceimpl\SensitiveWordServiceImpl.java","101","20","19.8"
"demo-service\src\main\java\com\demo\controller\user\SellerController.java","30","6","20"
"demo-service\src\main\java\com\demo\service\serviceimpl\OrderNoticeServiceImpl.java","110","22","20"
"demo-service\src\main\java\com\demo\service\OrderService.java","30","6","20"
"demo-service\src\main\java\com\demo\service\serviceimpl\OrderShipReminderTaskProcessor.java","149","30","20.13"
"demo-service\src\main\java\com\demo\controller\admin\UserController.java","73","15","20.55"
"demo-service\src\main\java\com\demo\service\serviceimpl\WalletServiceImpl.java","73","15","20.55"
"demo-service\src\main\java\com\demo\controller\admin\AdminAfterSaleController.java","34","7","20.59"
"demo-service\src\main\java\com\demo\controller\user\MarketProductController.java","58","12","20.69"
"demo-common\src\main\java\com\demo\utils\AliOssUtil.java","62","13","20.97"
"demo-service\src\main\java\com\demo\service\serviceimpl\OrderTimeoutServiceImpl.java","38","8","21.05"
"demo-service\src\main\java\com\demo\interceptor\JwtTokenUserInterceptor.java","109","23","21.1"
"demo-service\src\main\java\com\demo\config\WebMvcConfiguration.java","109","23","21.1"
"demo-service\src\main\java\com\demo\mq\consumer\OrderStatusChangedConsumer.java","153","33","21.57"
"demo-common\src\main\java\com\demo\constant\ProductMessageConstant.java","46","10","21.74"
"demo-service\src\main\java\com\demo\controller\admin\ViolationController.java","82","18","21.95"
"demo-service\src\main\java\com\demo\config\RedisConfiguration.java","27","6","22.22"
"demo-service\src\main\java\com\demo\service\serviceimpl\OrderShipTimeoutServiceImpl.java","45","10","22.22"
"demo-service\src\main\java\com\demo\controller\user\OrdersController.java","133","30","22.56"
"demo-service\src\main\java\com\demo\service\serviceimpl\SellerServiceImpl.java","53","12","22.64"
"demo-service\src\main\java\com\demo\aspect\AutoFillAspect.java","75","17","22.67"
"demo-service\src\main\java\com\demo\controller\user\ReviewController.java","39","9","23.08"
"demo-service\src\main\java\com\demo\controller\user\UserCreditController.java","39","9","23.08"
"demo-service\src\main\java\com\demo\service\serviceimpl\OrderRefundTaskServiceImpl.java","43","10","23.26"
"demo-common\src\main\java\com\demo\json\JacksonObjectMapper.java","42","10","23.81"
"demo-pojo\src\main\java\com\demo\dto\wallet\WithdrawApplyRequest.java","21","5","23.81"
"demo-service\src\main\java\com\demo\controller\user\AfterSaleController.java","63","15","23.81"
"demo-service\src\main\java\com\demo\config\OssConfiguration.java","29","7","24.14"
"demo-service\src\main\java\com\demo\service\port\impl\FavoriteReadPortDbImpl.java","37","9","24.32"
"demo-service\src\main\java\com\demo\controller\user\PointsController.java","45","11","24.44"
"demo-common\src\main\java\com\demo\utils\HttpClientUtil.java","153","38","24.84"
"demo-service\src\main\java\com\demo\controller\PaymentController.java","32","8","25"
"demo-service\src\main\java\com\demo\controller\user\MessageController.java","75","19","25.33"
"demo-common\src\main\java\com\demo\enumeration\ProductStatus.java","67","17","25.37"
"demo-service\src\main\java\com\demo\controller\user\WalletController.java","59","15","25.42"
"demo-service\src\main\java\com\demo\handler\GlobalExceptionHandler.java","86","22","25.58"
"demo-service\src\main\java\com\demo\job\OutboxPublishJob.java","66","17","25.76"
"demo-pojo\src\main\java\com\demo\entity\UserCreditLog.java","23","6","26.09"
"demo-service\src\main\java\com\demo\mq\consumer\OrderTimeoutConsumer.java","103","27","26.21"
"demo-common\src\main\java\com\demo\enumeration\CreditReasonType.java","45","12","26.67"
"demo-service\src\main\java\com\demo\annotation\AutoFill.java","15","4","26.67"
"demo-service\src\main\java\com\demo\controller\user\FavoriteController.java","56","15","26.79"
"demo-service\src\main\java\com\demo\controller\user\AddressController.java","93","25","26.88"
"demo-pojo\src\main\java\com\demo\dto\auth\EmailRegisterRequest.java","26","7","26.92"
"demo-pojo\src\main\java\com\demo\dto\auth\PhoneRegisterRequest.java","26","7","26.92"
"demo-service\src\main\java\com\demo\job\OrderShipReminderTaskJob.java","37","10","27.03"
"demo-common\src\main\java\com\demo\exception\BaseException.java","11","3","27.27"
"demo-common\src\main\java\com\demo\exception\PasswordErrorException.java","11","3","27.27"
"demo-common\src\main\java\com\demo\exception\SetmealEnableFailedException.java","11","3","27.27"
"demo-common\src\main\java\com\demo\exception\AccountNotFoundException.java","11","3","27.27"
"demo-common\src\main\java\com\demo\exception\AccountLockedException.java","11","3","27.27"
"demo-service\src\main\java\com\demo\mapper\FavoriteMapper.java","40","11","27.5"
"demo-service\src\main\java\com\demo\controller\user\UserAuthController.java","76","21","27.63"
"demo-service\src\main\java\com\demo\controller\user\UserProductController.java","119","33","27.73"
"demo-service\src\main\java\com\demo\mq\consumer\OrderPaidConsumer.java","149","42","28.19"
"demo-service\src\main\java\com\demo\controller\admin\StatisticsController.java","53","15","28.3"
"demo-service\src\main\java\com\demo\config\MybatisPlusConfig.java","21","6","28.57"
"demo-pojo\src\main\java\com\demo\dto\aftersale\DisputeRequest.java","14","4","28.57"
"demo-pojo\src\main\java\com\demo\dto\admin\RejectProductRequest.java","14","4","28.57"
"demo-service\src\main\java\com\demo\logistics\MockLogisticsProvider.java","195","56","28.72"
"demo-common\src\main\java\com\demo\utils\WeChatPayUtil.java","204","59","28.92"
